product_title,product_price,product_image,product_hyperlink
"$4.19
each
H-E-B Ground Pork Italian Sausage - Mild, Avg. 1.05 lbs",$4.19,https://images.heb.com/is/image/HEBGrocery/prd-small/000938524.jpg?v=1,https://www.heb.com/product-detail/h-e-b-ground-pork-italian-sausage-mild/938524
"Sale
$2.98
$2.68
each
H-E-B Chicken Broth, 48 oz",$2.98,https://images.heb.com/is/image/HEBGrocery/prd-small/002229429.jpg?v=1,https://www.heb.com/product-detail/h-e-b-chicken-broth/2229429
"$0.86
each
H-E-B Tomato Paste, 6 oz",$0.86,https://images.heb.com/is/image/HEBGrocery/prd-small/000126326.jpg?v=1,https://www.heb.com/product-detail/h-e-b-tomato-paste/126326
"$2.78
each
H-E-B Parmesan Shredded Cheese, 6 oz",$2.78,https://images.heb.com/is/image/HEBGrocery/prd-small/000593979.jpg?v=1,https://www.heb.com/product-detail/h-e-b-parmesan-shredded-cheese/593979
"$3.98
each
H-E-B Fresh Chopped Celery & Onion, 7 oz",$3.98,https://images.heb.com/is/image/HEBGrocery/prd-small/000593988.jpg?v=1,https://www.heb.com/product-detail/h-e-b-fresh-chopped-celery-onion/593988
"$7.99
each
Meal Simple by H-E-B Pork Dumpling Mix-In Soup, 9 oz",$7.99,https://images.heb.com/is/image/HEBGrocery/prd-small/013049015.jpg?v=1,https://www.heb.com/product-detail/meal-simple-by-h-e-b-pork-dumpling-mix-in-soup/13049015
"Coupon
$7.99
each
Meal Simple by H-E-B Broccoli Cheddar Soup - Family Size, 32 oz",$7.99,https://images.heb.com/is/image/HEBGrocery/prd-small/003038206.jpg?v=1,https://www.heb.com/product-detail/meal-simple-by-h-e-b-broccoli-cheddar-soup-family-size/3038206
"$1.97
each
H-E-B Garlic Breadsticks, 6 ct",$1.97,https://images.heb.com/is/image/HEBGrocery/prd-small/000509025.jpg?v=1,https://www.heb.com/product-detail/h-e-b-garlic-breadsticks/509025
"Coupon
$12.98
each
H-E-B Chicken Tortilla Soup Kit, 26 oz",$12.98,https://images.heb.com/is/image/HEBGrocery/prd-small/000721367.jpg?v=1,https://www.heb.com/product-detail/h-e-b-chicken-tortilla-soup-kit/721367
"$3.98
each
Central Market Totopos Tortilla Chips - White Corn & Sea Salt, 12 oz",$3.98,https://images.heb.com/is/image/HEBGrocery/prd-small/012376014.jpg?v=1,https://www.heb.com/product-detail/central-market-totopos-tortilla-chips-white-corn-sea-salt/12376014
"$4.98
each
Midtown by H-E-B Frozen Ricotta & Spinach Tortelloni Filled Pasta, 8.8 oz",$4.98,https://images.heb.com/is/image/HEBGrocery/prd-small/010683513.jpg?v=1,https://www.heb.com/product-detail/midtown-by-h-e-b-frozen-ricotta-spinach-tortelloni-filled-pasta/10683513
"$8.98
each
H-E-B 100% Pure Extra Lean Ground Beef, 96% Lean, Avg. 1.1 lbs",$8.98,https://images.heb.com/is/image/HEBGrocery/prd-small/000371335.jpg?v=1,https://www.heb.com/product-detail/h-e-b-100-pure-extra-lean-ground-beef-96-lean/371335
"$3.57
each
H-E-B Organics Kale Greens, 12 oz",$3.57,https://images.heb.com/is/image/HEBGrocery/prd-small/001790755.jpg?v=1,https://www.heb.com/product-detail/h-e-b-organics-kale-greens/1790755
"$5.98
each
H-E-B Chicken Bone Broth, 24 oz",$5.98,https://images.heb.com/is/image/HEBGrocery/prd-small/003024537.jpg?v=1,https://www.heb.com/product-detail/h-e-b-chicken-bone-broth/3024537
